,id,author_url
1045,40216,cavocorax
1046,40216,Kaylee
1047,40216,Mnoelle225
1048,22988,ealexandergerster
1049,22988,LiberTEAS
1050,22988,teabird
1051,22988,tperez
1052,40216,CHAroma
1053,40216,tigress_al
1054,40216,ifjuly
1055,40223,fuzzy_peachkin
1056,22988,graceatblb
1057,22988,QueenOfTarts
1058,22988,nathanielgruber
1059,22988,MilkPocky
1060,28778,Tealizzy
1061,40223,CharlotteZero
1062,40223,greenteafairy
1063,40223,maddyb
1064,22988,pantheon
1065,28778,aureliafish
1066,28778,CK
1067,28778,Dignitea
1068,31742,Silaena
1069,28779,hdfilmizle
1070,40223,Inkling
1071,40223,CameronB
1072,40223,Dustin2Dust
1073,28778,teaqueen
1074,28778,alibeebu
1075,28778,ifjuly
1076,28778,julesbean
1077,31742,butikiteas
1078,31742,CrowKettle
1079,31742,LiberTEAS
1080,28779,supboardsreview
1081,28779,cathy-zheng
1082,28779,lawofattraction
1083,40223,ashleyelizabeth
1084,40223,keychange
1086,28778,CoreyJ
1087,28778,petitetouale
1088,36387,terri-harplady
1089,31742,Pureleaf
1090,31742,paradigmamnesia
1091,31742,toadman208
1092,31742,indigobloom
1093,28779,franklollinojr
1094,28779,macbooktea
1095,28779,michaeljpuglisi
1100,36387,keychange
1101,36387,cavocorax
1102,36387,Silaena
1103,31742,djahls
1104,31742,IllBeMother221B
1105,28779,indigobloom
1106,28779,Lariel
1108,36387,TastyBrew
1109,36387,Rosehips
1110,28779,KatBender
1111,36387,fuzzy_peachkin
1112,36387,kittenna
1113,36387,OMGsrsly
1114,36387,CrowKettle
1115,45584,kittenna
1116,45584,tea-sipper
1117,45584,mintyiguana
1118,45584,tigress_al
1119,45584,OMGsrsly
1120,45584,tantonino
1121,45584,Ostdalost
1122,45584,Suziqzer
1123,45584,Kaylee
1124,45584,rachel12610
1125,29218,elonwy
1126,29218,eyllis
1127,29218,david-steinberg
1128,29245,curlygc
1129,29245,kieblera5
1130,29245,deliriumsfrogs
1131,29245,KiwiDelight
1132,29245,Kirkoneill1988
1133,29245,cheri0627
1134,29245,paradigmamnesia
1135,29245,tperez
1136,29245,AllanK
1137,29245,Tealizzy
1138,28753,Sarsonator
1139,28753,TheTeaFairy
1140,28753,Mandyyyy
1141,28753,awilsondc
1142,28753,cavocorax
1143,28753,whatshesaid
1144,28753,Myssy
1145,28753,CharlotteZero
1146,2996,aug3zimm
1147,28753,Silaena
1148,28753,OMGsrsly
1149,2996,takgoti
1150,2996,Shinobi_cha
1151,2996,changeangeling
1152,2996,ChrisC
1153,2996,sharpdart
1154,2996,camw
1155,2996,mbishop
1156,2996,nhadler
1157,2996,southwestender
1158,40216,QueenOfTarts
1159,40216,Flightysprite
1160,40216,heathermartin
1164,78341,eastkyteaguy
1165,78341,teepland
1168,78341,AllanK
1169,78341,nupursarda
1170,78341,Susmita
1173,36387,dinosara
1174,36387,roswellstrange
1175,36387,fjellrev
1176,36387,awkwardsoul
1177,36387,Tealizzy
1178,31742,awkwardsoul
1179,36387,tigress_al
1180,36387,Courtney
1181,36387,rachel12610
1182,31742,the-lazy-literatus
1183,31742,greenteafairy
1184,31742,OMGsrsly
1185,31742,CharlotteZero
1186,36387,joonsusanna
1187,36387,Nightshifter
1188,29244,graceatblb
1189,31742,inguna
1190,31742,NatalieOgden
1191,31742,Inkay
1192,45584,poziomka
1193,31742,Proust614
1194,31742,AllanK
1195,28779,CameronB
1196,45584,awkwardsoul
1197,45584,Teatiff
1198,28779,Veronica
1199,28779,hillel
1200,28779,JillDragon
1201,45584,Silaena
1202,45584,carol-who
1203,28778,petithelene
1204,28779,mj1851
1205,28779,cvasilevski
1206,45584,amyoh2
1207,45584,memily
1208,45584,QueenOfTarts
1209,28778,TheePopulist
1210,28778,custom-thesis
1211,28778,Harrisbrown
1212,28778,T-asap
1213,28779,Ostdalost
1214,28779,frolic
1215,28779,Visa1379
1216,45584,Visa1379
1217,45584,cheri0627
1218,28778,mahee-ferlini
1219,28778,Scheherazade
1220,28778,kmewrd
1221,28779,Arcendus
1222,28778,Marzipan
1223,28778,jan-windglows
1224,47663,milkmantep
1225,47663,rand0m1s
1226,47663,KiwiDelight
1227,47663,Dustin2Dust
1228,47663,Scheherazade
1229,47663,TeaNTees
1230,47663,Teatiff
1231,47663,LovethemCUTigers
1232,47663,Proust614
1233,47663,MissB_Tea
1239,6679,lindseym
1240,6679,gramarye1971
1241,6679,ValentinS
1242,6679,johnny7
1243,13005,memily
1244,13005,aquaprofunda
1245,13005,releasethedachshunds
1246,13005,lullabyte
1247,13005,sarcastic-cupcakes
1248,13005,blehhhhhhhhhhhhhhhh
1249,13005,cathy-zheng
1250,13005,priastarle
1251,13005,MissB_Tea
1252,13005,jan-windglows
1253,45568,A-House
1254,45568,Inkay
1255,45568,Hoalatha
1256,45568,TravLaven
1257,45568,Alreot
1258,45568,kalmal
1259,45568,luckyme
1260,45568,clintjones
1261,45568,Nightshifter
1262,45568,cvasilevski
1263,32453,terri-harplady
1264,32453,MButlerHallett
1265,32453,Aeoliana
1266,32453,misslena1221
1267,32453,hammaryn
1268,32453,wheezybee
1269,32453,CHAroma
1270,32453,Rosehips
1271,32453,cteresa
1272,32453,Flightysprite
1273,21802,ks6
1274,21802,pandamanda
1275,21802,tigress_al
1276,21802,dinosara
1277,21802,Lala1
1278,21802,azzrian
1279,21802,TheTeaFairy
1280,21802,canadianadia
1281,21802,bonniejohnstone
1282,21802,joonsusanna
1288,8140,Kelci
1289,8140,ChristineLoomans
1290,8140,kuanyin
1291,8140,skhughes
1292,30796,autumn-hearth
1293,31742,rosebudmelissa
1294,8140,Teatiff
1295,8140,daylon-r-thomas
1296,8140,hawkband1
1297,8140,andy-trevathan
1298,30796,tea-sipper
1299,30796,kittenna
1300,30796,IllBeMother221B
1301,31742,tea-sipper
1302,31742,Sarsonator
1303,8140,shortsorceress
1304,8140,SoggyEnderman
1305,28779,rachel12610
1306,30796,OMGsrsly
1307,30796,lindsay
1308,31742,KiwiDelight
1309,31742,Lariel
1310,28779,Bgrinham
1311,28779,Donkeytiara
1312,28779,darrinpeppers
1313,30796,MsWhatsit
1314,30796,inguna
1315,30796,Dignitea
1317,31742,ifjuly
1318,31742,terri-harplady
1319,31742,Flightysprite
1320,28779,yyz
1321,28779,mugger
1322,30796,Anlina
1325,47663,Inkling
1326,16333,Angrboda
1327,13005,andreastephens
1330,47663,CameronB
1331,47663,Tealizzy
1332,16333,azzrian
1333,16333,feralanima
1334,13005,GingerSafari
1335,13005,emmaaah
1339,28753,Kasiopea
1340,47663,tea-sipper
1341,47663,Myssy
1342,45568,teaformeplease
1343,16333,teaequalsbliss
1344,16333,silvermage2000
1345,29087,misslena1221
1346,47663,Silaena
1347,47663,misslena1221
1348,47663,Ubacat
1349,45568,KiwiDelight
1350,45568,LiberTEAS
1351,16333,j0hn
1352,16333,teafreak
1353,16333,hawkband1
1354,29087,verdanttea
1355,29087,indigobloom
1356,29087,terri-harplady
1357,48460,fionia-tea
1358,47663,toadman208
1359,47663,mj1851
1360,45568,tea-sipper
1361,45568,dinosara
1362,45568,Kirkoneill1988
1363,45568,thedjbooth
1364,16333,SoggyEnderman
1365,16333,CameronB
1366,29087,bonniejohnstone
1367,29087,feralanima
